Uuid,Same as mappings,Void/Retire,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1250
7c4b9569-2a43-4d57-9b66-626df8888475,,,<9 months,<9 months,<9 months,<9 months,,,Misc,N/A,,,,,,,,,,,
e23b95c2-4ece-4f9d-8d9e-3f4a53c1f550,,,9 months,9 months,9 months,9 months,,,Misc,N/A,,,,,,,,,,,
3b75cc72-924b-4d36-8891-95484287495e,,,Unknown,Unknown,Unknown,Unknown,,,Misc,N/A,,,,,,,,,,,
488ce165-d45b-4e80-a486-40cf37d903d3,,,Length of Pregnancy,Length of Pregnancy,Length of Pregnancy,Length of Pregnancy,,,Misc,Coded,,7c4b9569-2a43-4d57-9b66-626df8888475; e23b95c2-4ece-4f9d-8d9e-3f4a53c1f550; 3b75cc72-924b-4d36-8891-95484287495e,,,,,,,,,
a2065636-5326-40f5-aed6-0cc2cca81ccc,,,Yes,Yes,Yes,Yes,,,Misc,N/A,,,,,,,,,,,
b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,,No,No,No,No,,,Misc,N/A,,,,,,,,,,,
3b75cc72-924b-4d36-8891-95484287495e,,,Unknown,Unknown,Unknown,Unknown,,,Misc,N/A,,,,,,,,,,,
5675e67f-f893-4ca2-90d3-58061d0475fd,,,Did the mother have complications during the pregnancy?,Did the mother have complications during the pregnancy?,Did the mother have complications during the pregnancy?,Did the mother have complications during the pregnancy?,,,Misc,Coded,,a2065636-5326-40f5-aed6-0cc2cca81ccc; b497171e-0410-4d8d-bbd4-7e1a8f8b504e; 3b75cc72-924b-4d36-8891-95484287495e,,,,,,,,,
a2065636-5326-40f5-aed6-0cc2cca81ccc,,,Yes,Yes,Yes,Yes,,,Misc,N/A,,,,,,,,,,,
b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,,No,No,No,No,,,Misc,N/A,,,,,,,,,,,
3b75cc72-924b-4d36-8891-95484287495e,,,Unknown,Unknown,Unknown,Unknown,,,Misc,N/A,,,,,,,,,,,
b8a29569-6501-4a3b-94d9-2c6329cafded,,,Complications during birth?,Complications during birth?,Complications during birth?,Complications during birth?,,,Misc,Coded,,a2065636-5326-40f5-aed6-0cc2cca81ccc; b497171e-0410-4d8d-bbd4-7e1a8f8b504e; 3b75cc72-924b-4d36-8891-95484287495e,,,,,,,,,
a2065636-5326-40f5-aed6-0cc2cca81ccc,,,Yes,Yes,Yes,Yes,,,Misc,N/A,,,,,,,,,,,
b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,,No,No,No,No,,,Misc,N/A,,,,,,,,,,,
3b75cc72-924b-4d36-8891-95484287495e,,,Unknown,Unknown,Unknown,Unknown,,,Misc,N/A,,,,,,,,,,,
ab9eaccc-545c-4f39-b319-e04b03f6e438,,,Did the mother smoke during pregancy?,Did the mother smoke during pregancy?,Did the mother smoke during pregancy?,Did the mother smoke during pregancy?,,,Misc,Coded,,a2065636-5326-40f5-aed6-0cc2cca81ccc; b497171e-0410-4d8d-bbd4-7e1a8f8b504e; 3b75cc72-924b-4d36-8891-95484287495e,,,,,,,,,
a2065636-5326-40f5-aed6-0cc2cca81ccc,,,Yes,Yes,Yes,Yes,,,Misc,N/A,,,,,,,,,,,
b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,,No,No,No,No,,,Misc,N/A,,,,,,,,,,,
3b75cc72-924b-4d36-8891-95484287495e,,,Unknown,Unknown,Unknown,Unknown,,,Misc,N/A,,,,,,,,,,,
4b424cdb-f5ba-468c-bae6-d283160f1ad4,,,Did the mother consume alcohol during preganacy?,Did the mother consume alcohol during preganacy?,Did the mother consume alcohol during preganacy?,Did the mother consume alcohol during preganacy?,,,Misc,Coded,,a2065636-5326-40f5-aed6-0cc2cca81ccc; b497171e-0410-4d8d-bbd4-7e1a8f8b504e; 3b75cc72-924b-4d36-8891-95484287495e,,,,,,,,,
5fe2d7e4-e821-41fa-af06-cbf75fc4ea1c,,,Pregnancy History,Pregnancy History,Pregnancy History,Pregnancy History,,,ConvSet,N/A,,,488ce165-d45b-4e80-a486-40cf37d903d3; 5675e67f-f893-4ca2-90d3-58061d0475fd; b8a29569-6501-4a3b-94d9-2c6329cafded; ab9eaccc-545c-4f39-b319-e04b03f6e438; 4b424cdb-f5ba-468c-bae6-d283160f1ad4,,,,,,,,
a2065636-5326-40f5-aed6-0cc2cca81ccc,,,Yes,Yes,Yes,Yes,,,Misc,N/A,,,,,,,,,,,
