Uuid,Same as mappings,Void/Retire,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1250
2e890952-76f4-4e3c-85a9-ad316b6624e8,,,Alveolar Cleft,Alveolar Cleft,Alveolar Cleft,Alveolar Cleft,,,Misc,N/A,,,,,,,,,,,
78763e68-104e-465d-8ce3-35f9edfb083d,,,TRUE,TRUE,TRUE,TRUE,,,Misc,N/A,,,,,,,,,,,
a5aa75ac-f87a-4c1f-bae4-f1d17a850940,,,Bilateral,Bilateral,Bilateral,Bilateral,,,Misc,Coded,,78763e68-104e-465d-8ce3-35f9edfb083d,,,,,,,,,
f089550b-4e14-11e4-8a57-0800271c1b75,,,Cleft Lip,Cleft Lip,Cleft Lip,Cleft Lip,,,Diagnosis,N/A,,,,,,,,,,,
1e1f19ef-4e15-11e4-8a57-0800271c1b75,,,Cleft Palate,Cleft Palate,Cleft Palate,Cleft Palate,,,Misc,N/A,,,,,,,,,,,
0cea5283-254f-43c3-a0a4-35f3aa304285,,,Left Side,Left Side,Left Side,Left Side,,,Misc,N/A,,,,,,,,,,,
d36f3e52-1243-4ace-bb8a-3e036d1327f6,,,lip deformity,lip deformity,lip deformity,lip deformity,,,Misc,N/A,,,,,,,,,,,
d98f33b7-7bf7-4d72-8b7a-560325077b0d,,,Nasal Deformity,Nasal Deformity,Nasal Deformity,Nasal Deformity,,,Misc,N/A,,,,,,,,,,,
4fdc5b5b-ff7a-4bdf-920f-92276ef6c07f,,,Other Answer,Other Answer,Other Answer,Other Answer,,,Misc,N/A,,,,,,,,,,,
d49d0d55-fd52-4bf6-9145-e49e0d91fd9c,,,Palatal fistula,Palatal fistula,Palatal fistula,Palatal fistula,,,Misc,N/A,,,,,,,,,,,
81ba8cfd-3878-48b8-b0ad-064173ab71a9,,,Right Side,Right Side,Right Side,Right Side,,,Misc,N/A,,,,,,,,,,,
3bc69c5f-d729-497a-86c0-cb1c250d0805,,,Soft Palate Cleft,Soft Palate Cleft,Soft Palate Cleft,Soft Palate Cleft,,,Misc,N/A,,,,,,,,,,,
16248a6f-f306-408e-b7b2-170d881ce265,,,VPI,VPI,VPI,VPI,,,Misc,N/A,,,,,,,,,,,
eb6c456d-066a-4e77-a9da-87051851f2c3,,,Burn Contracture,Burn Contracture,Burn Contracture,Burn Contracture,,,Misc,N/A,,,,,,,,,,,
08c1dd42-d187-4798-98ff-f21b5ed4ad9f,,,Acute Burn,Acute Burn,Acute Burn,Acute Burn,,,Misc,N/A,,,,,,,,,,,
6e1a1b3e-2880-45c8-b968-416a1a0837d0,,,Pre-Op Dx,Pre-Op Dx,Pre-Op Dx,Pre-Op Dx,,,Misc,Coded,,2e890952-76f4-4e3c-85a9-ad316b6624e8; a5aa75ac-f87a-4c1f-bae4-f1d17a850940; f089550b-4e14-11e4-8a57-0800271c1b75; 1e1f19ef-4e15-11e4-8a57-0800271c1b75; 0cea5283-254f-43c3-a0a4-35f3aa304285; d36f3e52-1243-4ace-bb8a-3e036d1327f6; d98f33b7-7bf7-4d72-8b7a-560325077b0d; 4fdc5b5b-ff7a-4bdf-920f-92276ef6c07f; d49d0d55-fd52-4bf6-9145-e49e0d91fd9c; 81ba8cfd-3878-48b8-b0ad-064173ab71a9; 3bc69c5f-d729-497a-86c0-cb1c250d0805; 16248a6f-f306-408e-b7b2-170d881ce265; eb6c456d-066a-4e77-a9da-87051851f2c3; 08c1dd42-d187-4798-98ff-f21b5ed4ad9f,,,,,,,,,
4fdc5b5b-ff7a-4bdf-920f-92276ef6c07f,,,Other Answer,Other Answer,Other Answer,Other Answer,,,Misc,N/A,,,,,,,,,,,
2879b27d-7fca-45c8-9238-fa76ae570e6f,,,Same,Same,Same,Same,,,Misc,N/A,,,,,,,,,,,
e1ef9a74-dd34-4a41-bf48-d88c7c193014,,,Post-Op Dx,Post-Op Dx,Post-Op Dx,Post-Op Dx,,,Misc,Coded,,4fdc5b5b-ff7a-4bdf-920f-92276ef6c07f; 2879b27d-7fca-45c8-9238-fa76ae570e6f,,,,,,,,,
84d424bd-1b35-4876-b20f-8c84f2c94a62,,,alveolar bone graft,alveolar bone graft,alveolar bone graft,alveolar bone graft,,,Misc,N/A,,,,,,,,,,,
d0f39e75-521d-4033-a05a-2c3cc76b5978,,,Bilateral Tube Myringotomy,Bilateral Tube Myringotomy,Bilateral Tube Myringotomy,Bilateral Tube Myringotomy,,,Misc,N/A,,,,,,,,,,,
41612d0a-85f4-4846-8e45-1caf7e9b3fce,,,cleft lip repair,cleft lip repair,cleft lip repair,cleft lip repair,,,Misc,N/A,,,,,,,,,,,
ca5e91fc-3d27-4071-b897-e8ad4e28c1f7,,,Cleft Lip Revision,Cleft Lip Revision,Cleft Lip Revision,Cleft Lip Revision,,,Misc,N/A,,,,,,,,,,,
cfda9b38-9637-44ae-b9fb-380d74f01e93,,,Cleft Palate Repair,Cleft Palate Repair,Cleft Palate Repair,Cleft Palate Repair,,,Misc,N/A,,,,,,,,,,,
dc786e37-d02c-4148-9c37-435a3a237e9d,,,Nose Revision/Rhinoplasty,Nose Revision/Rhinoplasty,Nose Revision/Rhinoplasty,Nose Revision/Rhinoplasty,,,Misc,N/A,,,,,,,,,,,
4fdc5b5b-ff7a-4bdf-920f-92276ef6c07f,,,Other Answer,Other Answer,Other Answer,Other Answer,,,Misc,N/A,,,,,,,,,,,
2ac5e901-b124-47a4-8856-8469dfe3b2e6,,,Palatal Fistula Repair,Palatal Fistula Repair,Palatal Fistula Repair,Palatal Fistula Repair,,,Misc,N/A,,,,,,,,,,,
c004db14-c4b2-425e-adc8-0776a9a7c04b,,,Pharyngeal Flap,Pharyngeal Flap,Pharyngeal Flap,Pharyngeal Flap,,,Misc,N/A,,,,,,,,,,,
31349593-83ec-4db2-80e1-8825b66de923,,,Pharyngoplasty,Pharyngoplasty,Pharyngoplasty,Pharyngoplasty,,,Misc,N/A,,,,,,,,,,,
6dd95898-05bf-4be5-b7f1-c7082fba0149,,,Unilateral,Unilateral,Unilateral,Unilateral,,,Misc,N/A,,,,,,,,,,,
bcb6008c-b636-41e9-90b0-396ce6d6ce3b,,,Cleft Lip/Palate Procedure,Cleft Lip/Palate Procedure,Cleft Lip/Palate Procedure,Cleft Lip/Palate Procedure,,,Misc,Coded,,84d424bd-1b35-4876-b20f-8c84f2c94a62; a5aa75ac-f87a-4c1f-bae4-f1d17a850940; d0f39e75-521d-4033-a05a-2c3cc76b5978; 41612d0a-85f4-4846-8e45-1caf7e9b3fce; ca5e91fc-3d27-4071-b897-e8ad4e28c1f7; cfda9b38-9637-44ae-b9fb-380d74f01e93; dc786e37-d02c-4148-9c37-435a3a237e9d; 4fdc5b5b-ff7a-4bdf-920f-92276ef6c07f; 2ac5e901-b124-47a4-8856-8469dfe3b2e6; c004db14-c4b2-425e-adc8-0776a9a7c04b; 31349593-83ec-4db2-80e1-8825b66de923; 6dd95898-05bf-4be5-b7f1-c7082fba0149,,,,,,,,,
e8fe988f-53f5-4a87-9a04-8208a037b284,,,GA,GA,GA,GA,,,Misc,N/A,,,,,,,,,,,
05e9b87f-49cb-4aa0-88c6-51edc7afb65c,,,MAC,MAC,MAC,MAC,,,Misc,N/A,,,,,,,,,,,
4fdc5b5b-ff7a-4bdf-920f-92276ef6c07f,,,Other Answer,Other Answer,Other Answer,Other Answer,,,Misc,N/A,,,,,,,,,,,
777228ce-5230-4f00-81db-739d36872d5c,,,Regional,Regional,Regional,Regional,,,Misc,N/A,,,,,,,,,,,
72516972-735d-4514-a92c-dab2eca10d32,,,Spinal,Spinal,Spinal,Spinal,,,Misc,N/A,,,,,,,,,,,
362bd11e-e83b-4aa4-8b23-8a3ead9908a4,,,Local,Local,Local,Local,,,Misc,N/A,,,,,,,,,,,
e6f8635c-ef6d-4cd5-94a0-ec24888ae51d,,,Block (enter in comments),Block (enter in comments),Block (enter in comments),Block (enter in comments),,,Misc,N/A,,,,,,,,,,,
acae61a9-be69-4995-992f-ce6a3dc6fdf0,,,Anesthesia,Anesthesia,Anesthesia,Anesthesia,,,Misc,Coded,,e8fe988f-53f5-4a87-9a04-8208a037b284; 05e9b87f-49cb-4aa0-88c6-51edc7afb65c; 4fdc5b5b-ff7a-4bdf-920f-92276ef6c07f; 777228ce-5230-4f00-81db-739d36872d5c; 72516972-735d-4514-a92c-dab2eca10d32; 362bd11e-e83b-4aa4-8b23-8a3ead9908a4; e6f8635c-ef6d-4cd5-94a0-ec24888ae51d,,,,,,,,,
fe2da37c-0c99-484c-85e3-cfaa23c9fb2a,,,Dr. Charles Furaha,Dr. Charles Furaha,Dr. Charles Furaha,Dr. Charles Furaha,,,Misc,N/A,,,,,,,,,,,
f96508c6-f0a2-440e-883e-4540286d3057,,,Other:,Other:,Other:,Other:,,,Misc,N/A,,,,,,,,,,,
390116c7-4cb3-4870-bfb7-2e2684d97a72,,,Surgeon,Surgeon,Surgeon,Surgeon,,,Misc,Coded,,fe2da37c-0c99-484c-85e3-cfaa23c9fb2a; f96508c6-f0a2-440e-883e-4540286d3057,,,,,,,,,
92f7fd24-6a8a-4615-b0dd-56e1d89c581a,,,Surgeon Comment,Surgeon Comment,Surgeon Comment,Surgeon Comment,,,Misc,Text,,,,,,,,,,,
a2065636-5326-40f5-aed6-0cc2cca81ccc,,,Yes,Yes,Yes,Yes,,,Misc,N/A,,,,,,,,,,,
b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,,No,No,No,No,,,Misc,N/A,,,,,,,,,,,
3b75cc72-924b-4d36-8891-95484287495e,,,Unknown,Unknown,Unknown,Unknown,,,Misc,N/A,,,,,,,,,,,
af86e4bb-b081-4fe0-82b7-0e14992cf7e6,,,Assist,Assist,Assist,Assist,,,Misc,Coded,,a2065636-5326-40f5-aed6-0cc2cca81ccc; b497171e-0410-4d8d-bbd4-7e1a8f8b504e; 3b75cc72-924b-4d36-8891-95484287495e,,,,,,,,,
a40c7a93-621c-4794-9b2b-a31eac04cc83,,,<10 cc,<10 cc,<10 cc,<10 cc,,,Misc,N/A,,,,,,,,,,,
4fdc5b5b-ff7a-4bdf-920f-92276ef6c07f,,,Other Answer,Other Answer,Other Answer,Other Answer,,,Misc,N/A,,,,,,,,,,,
e3c3d079-78ff-472d-b254-220bb89888b1,,,EBL,EBL,EBL,EBL,,,Misc,Coded,,a40c7a93-621c-4794-9b2b-a31eac04cc83; 4fdc5b5b-ff7a-4bdf-920f-92276ef6c07f,,,,,,,,,
a604e527-1b29-440e-af6d-9d7ba46b832e,,,cc crystalloid,cc crystalloid,cc crystalloid,cc crystalloid,,,Misc,N/A,,,,,,,,,,,
49ae1338-5508-49b9-9d15-97717be02254,,,PRBC / whole blood,PRBC / whole blood,PRBC / whole blood,PRBC / whole blood,,,Misc,N/A,,,,,,,,,,,
4fdc5b5b-ff7a-4bdf-920f-92276ef6c07f,,,Other Answer,Other Answer,Other Answer,Other Answer,,,Misc,N/A,,,,,,,,,,,
ce1e09f8-dacc-46a0-9bf4-54a673d73529,,,Fluids,Fluids,Fluids,Fluids,,,Misc,Coded,,a604e527-1b29-440e-af6d-9d7ba46b832e; 49ae1338-5508-49b9-9d15-97717be02254; 4fdc5b5b-ff7a-4bdf-920f-92276ef6c07f,,,,,,,,,
a2065636-5326-40f5-aed6-0cc2cca81ccc,,,Yes,Yes,Yes,Yes,,,Misc,N/A,,,,,,,,,,,
