Uuid,Same as mappings,Void/Retire,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1250
e4c97d10-1401-4d74-a9b5-d0ba4762ad5c,,,Yes (include # weeks),Yes (include # weeks),Yes (include # weeks),Yes (include # weeks),,,Misc,N/A,,,,,,,,,,,
b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,,No,No,No,No,,,Misc,N/A,,,,,,,,,,,
3b75cc72-924b-4d36-8891-95484287495e,,,Unknown,Unknown,Unknown,Unknown,,,Misc,N/A,,,,,,,,,,,
2023be53-7175-4b74-b502-95a9a7faf8c4,,,Clinic Follow-up,Clinic Follow-up,Clinic Follow-up,Clinic Follow-up,,,Misc,Coded,,e4c97d10-1401-4d74-a9b5-d0ba4762ad5c; b497171e-0410-4d8d-bbd4-7e1a8f8b504e; 3b75cc72-924b-4d36-8891-95484287495e,,,,,,,,,
aa8898ea-643e-47c7-8a0f-3fc2f4752d83,,,Today,Today,Today,Today,,,Misc,N/A,,,,,,,,,,,
d7c23bb1-64ba-4585-b993-51e77f2cd261,,,Future (include date),Future (include date),Future (include date),Future (include date),,,Misc,N/A,,,,,,,,,,,
3756342f-7652-4025-9a62-dd1bb5cfc6d1,,,Admit,Admit,Admit,Admit,,,Misc,Coded,,aa8898ea-643e-47c7-8a0f-3fc2f4752d83; d7c23bb1-64ba-4585-b993-51e77f2cd261,,,,,,,,,
84d424bd-1b35-4876-b20f-8c84f2c94a62,,,alveolar bone graft,alveolar bone graft,alveolar bone graft,alveolar bone graft,,,Misc,N/A,,,,,,,,,,,
78763e68-104e-465d-8ce3-35f9edfb083d,,,TRUE,TRUE,TRUE,TRUE,,,Misc,N/A,,,,,,,,,,,
a5aa75ac-f87a-4c1f-bae4-f1d17a850940,,,Bilateral,Bilateral,Bilateral,Bilateral,,,Misc,Coded,,78763e68-104e-465d-8ce3-35f9edfb083d,,,,,,,,,
d0f39e75-521d-4033-a05a-2c3cc76b5978,,,Bilateral Tube Myringotomy,Bilateral Tube Myringotomy,Bilateral Tube Myringotomy,Bilateral Tube Myringotomy,,,Misc,N/A,,,,,,,,,,,
41612d0a-85f4-4846-8e45-1caf7e9b3fce,,,cleft lip repair,cleft lip repair,cleft lip repair,cleft lip repair,,,Misc,N/A,,,,,,,,,,,
ca5e91fc-3d27-4071-b897-e8ad4e28c1f7,,,Cleft Lip Revision,Cleft Lip Revision,Cleft Lip Revision,Cleft Lip Revision,,,Misc,N/A,,,,,,,,,,,
dc786e37-d02c-4148-9c37-435a3a237e9d,,,Nose Revision/Rhinoplasty,Nose Revision/Rhinoplasty,Nose Revision/Rhinoplasty,Nose Revision/Rhinoplasty,,,Misc,N/A,,,,,,,,,,,
4fdc5b5b-ff7a-4bdf-920f-92276ef6c07f,,,Other Answer,Other Answer,Other Answer,Other Answer,,,Misc,N/A,,,,,,,,,,,
2ac5e901-b124-47a4-8856-8469dfe3b2e6,,,Palatal Fistula Repair,Palatal Fistula Repair,Palatal Fistula Repair,Palatal Fistula Repair,,,Misc,N/A,,,,,,,,,,,
31349593-83ec-4db2-80e1-8825b66de923,,,Pharyngoplasty,Pharyngoplasty,Pharyngoplasty,Pharyngoplasty,,,Misc,N/A,,,,,,,,,,,
c004db14-c4b2-425e-adc8-0776a9a7c04b,,,Pharyngeal Flap,Pharyngeal Flap,Pharyngeal Flap,Pharyngeal Flap,,,Misc,N/A,,,,,,,,,,,
6dd95898-05bf-4be5-b7f1-c7082fba0149,,,Unilateral,Unilateral,Unilateral,Unilateral,,,Misc,N/A,,,,,,,,,,,
68246290-9f28-4092-b6e2-e0ec92175769,,,Procedure (also include in Primary Medical Record),Procedure (also include in Primary Medical Record),Procedure (also include in Primary Medical Record),Procedure (also include in Primary Medical Record),,,Misc,Coded,,84d424bd-1b35-4876-b20f-8c84f2c94a62; a5aa75ac-f87a-4c1f-bae4-f1d17a850940; d0f39e75-521d-4033-a05a-2c3cc76b5978; 41612d0a-85f4-4846-8e45-1caf7e9b3fce; ca5e91fc-3d27-4071-b897-e8ad4e28c1f7; dc786e37-d02c-4148-9c37-435a3a237e9d; 4fdc5b5b-ff7a-4bdf-920f-92276ef6c07f; 2ac5e901-b124-47a4-8856-8469dfe3b2e6; 31349593-83ec-4db2-80e1-8825b66de923; c004db14-c4b2-425e-adc8-0776a9a7c04b; 6dd95898-05bf-4be5-b7f1-c7082fba0149,,,,,,,,,
cfa29909-9de7-4a8d-9aa0-2225560432f7,,,Operative Time,Operative Time,Operative Time,Operative Time,,,Misc,Text,,,,,,,,,,,
e8fe988f-53f5-4a87-9a04-8208a037b284,,,GA,GA,GA,GA,,,Misc,N/A,,,,,,,,,,,
05e9b87f-49cb-4aa0-88c6-51edc7afb65c,,,MAC,MAC,MAC,MAC,,,Misc,N/A,,,,,,,,,,,
4fdc5b5b-ff7a-4bdf-920f-92276ef6c07f,,,Other Answer,Other Answer,Other Answer,Other Answer,,,Misc,N/A,,,,,,,,,,,
777228ce-5230-4f00-81db-739d36872d5c,,,Regional,Regional,Regional,Regional,,,Misc,N/A,,,,,,,,,,,
72516972-735d-4514-a92c-dab2eca10d32,,,Spinal,Spinal,Spinal,Spinal,,,Misc,N/A,,,,,,,,,,,
362bd11e-e83b-4aa4-8b23-8a3ead9908a4,,,Local,Local,Local,Local,,,Misc,N/A,,,,,,,,,,,
e6f8635c-ef6d-4cd5-94a0-ec24888ae51d,,,Block (enter in comments),Block (enter in comments),Block (enter in comments),Block (enter in comments),,,Misc,N/A,,,,,,,,,,,
