Uuid,Same as mappings,Void/Retire,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1250
3b72d5ef-d63c-498a-9e01-bbf713020286,,,Surgery Date,Surgery Date,Surgery Date,Surgery Date,,,Misc,Date,,,,,,,,,,,
fe2da37c-0c99-484c-85e3-cfaa23c9fb2a,,,Dr. Biruk Wamisho,Dr. Biruk Wamisho,Dr. Biruk Wamisho,Dr. Biruk Wamisho,,,Misc,N/A,,,,,,,,,,,
f96508c6-f0a2-440e-883e-4540286d3057,,,Other:,Other:,Other:,Other:,,,Misc,N/A,,,,,,,,,,,
390116c7-4cb3-4870-bfb7-2e2684d97a72,,,Surgeon,Surgeon,Surgeon,Surgeon,,,Misc,Coded,,fe2da37c-0c99-484c-85e3-cfaa23c9fb2a; f96508c6-f0a2-440e-883e-4540286d3057,,,,,,,,,
6814959a-a6f4-4072-bbf0-bd65c8e3f0a8,,,Orthopaedic Assistant,Orthopaedic Assistant,Assistant,Assistant,,,Misc,Coded,,fe2da37c-0c99-484c-85e3-cfaa23c9fb2a; f96508c6-f0a2-440e-883e-4540286d3057,,,,,,,,,
92f7fd24-6a8a-4615-b0dd-56e1d89c581a,,,Surgeon Comment,Surgeon Comment,Comment,Comment,,,Misc,Text,,,,,,,,,,,
c38d98cd-3f10-11e4-adec-0800271c1b75,,,Operative Procedure,Operative Procedure,Operative Procedure,Operative Procedure,,,Misc,Text,,,,,,,,,,,
50d2cac1-4c03-41b0-848e-0f30081325c5,,,"Procedure Notes, Findings","Procedure Notes, Findings",Findings,Findings,,,Misc,Text,,,,,,,,,,,
10ba48cf-517c-4615-9653-b3d2ee7eae55,,,Technique,Technique,Technique,Technique,,,Misc,Text,,,,,,,,,,,
e8fe988f-53f5-4a87-9a04-8208a037b284,,,GA,GA,GA,GA,,,Misc,N/A,,,,,,,,,,,
05e9b87f-49cb-4aa0-88c6-51edc7afb65c,,,MAC,MAC,MAC,MAC,,,Misc,N/A,,,,,,,,,,,
777228ce-5230-4f00-81db-739d36872d5c,,,Regional,Regional,Regional,Regional,,,Misc,N/A,,,,,,,,,,,
72516972-735d-4514-a92c-dab2eca10d32,,,Spinal,Spinal,Spinal,Spinal,,,Misc,N/A,,,,,,,,,,,
362bd11e-e83b-4aa4-8b23-8a3ead9908a4,,,Local,Local,Local,Local,,,Misc,N/A,,,,,,,,,,,
4fdc5b5b-ff7a-4bdf-920f-92276ef6c07f,,,Other Answer,Other Answer,Other (Specify),Other (Specify),,,Misc,N/A,,,,,,,,,,,
acae61a9-be69-4995-992f-ce6a3dc6fdf0,,,Anesthesia,Anesthesia,Anesthesia,Anesthesia,,,Misc,Coded,,e8fe988f-53f5-4a87-9a04-8208a037b284; 05e9b87f-49cb-4aa0-88c6-51edc7afb65c; 777228ce-5230-4f00-81db-739d36872d5c; 72516972-735d-4514-a92c-dab2eca10d32; 362bd11e-e83b-4aa4-8b23-8a3ead9908a4; 4fdc5b5b-ff7a-4bdf-920f-92276ef6c07f,,,,,,,,,
75f3c572-74dc-4c71-aa9a-3278dbcd2fb6,,,None,None,,,,,Misc,N/A,,,,,,,,,,,
a2065636-5326-40f5-aed6-0cc2cca81ccc,,,Yes,Yes,,,,,Misc,N/A,,,,,,,,,,,
26a08df0-2ae8-48de-babf-0f6989d9ebab,,,Complications,Complications,Complications,Complications,,,Misc,Coded,,75f3c572-74dc-4c71-aa9a-3278dbcd2fb6; a2065636-5326-40f5-aed6-0cc2cca81ccc,,,,,,,,,
3ecbd696-b590-4f13-809c-888d61bb0acb,,,"Operative Notes, Estimated Blood Loss","Operative Notes, Estimated Blood Loss",Estimated blood loss (in cc),Estimated blood loss (in cc),,,Misc,Numeric,,,,,,,,,,,
a2065636-5326-40f5-aed6-0cc2cca81ccc,,,Yes,Yes,,,,,Misc,N/A,,,,,,,,,,,
b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,,No,No,,,,,Misc,N/A,,,,,,,,,,,
7a86d6bf-e2a2-4ca3-8861-67cd8836d77b,,,Specimen Collected,Specimen Collected,Specimen Collected,Specimen Collected,,,Question,Coded,,a2065636-5326-40f5-aed6-0cc2cca81ccc; b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,,,,,,,,
702e6e2b-6098-4b48-9398-897faffe9e66,,,Saline,Saline,,,,,Drug,N/A,,,,,,,,,,,
1035b730-068f-40bb-b9d9-f99b8a596fea,,,10% Bethadin,10% Bethadin,10% Bethadin,10% Bethadin,,,Drug,N/A,,,,,,,,,,,
f96508c6-f0a2-440e-883e-4540286d3057,,,Other:,Other:,Other:,Other:,,,Misc,N/A,,,,,,,,,,,
4ea93f26-a0a9-42e1-93e3-512f1ca99234,,,Cleaning,Cleaning,Cleaning,Cleaning,,,Misc,Coded,,702e6e2b-6098-4b48-9398-897faffe9e66; 1035b730-068f-40bb-b9d9-f99b8a596fea; f96508c6-f0a2-440e-883e-4540286d3057,,,,,,,,,
8f776aaa-81ed-4945-877f-98e53f228bc8,,,Ceftrixson,Ceftrixson,Ceftrixson,Ceftrixson,,,Drug,N/A,,,,,,,,,,,
f96508c6-f0a2-440e-883e-4540286d3057,,,Other:,Other:,Other:,Other:,,,Misc,N/A,,,,,,,,,,,
623898df-64cb-4083-ab0c-9acf49135228,,,Prophelaxsis Antibiotics,Prophelaxsis Antibiotics,Prophelaxsis Antibiotics,Prophelaxsis Antibiotics,,,Misc,Coded,,8f776aaa-81ed-4945-877f-98e53f228bc8; f96508c6-f0a2-440e-883e-4540286d3057,,,,,,,,,
be1396fa-5389-43e6-8ebf-8c65294b4156,,,Burn and Plastic -Operative Report,Burn and Plastic -Operative Report,Burn and Plastic -Operative Report,Burn and Plastic -Operative Report,,,ConvSet,N/A,,,"Surgery Date; 390116c7-4cb3-4870-bfb7-2e2684d97a72; Orthopaedic Assistant; Surgeon Comment; Operative Procedure; 50d2cac1-4c03-41b0-848e-0f30081325c5; 10ba48cf-517c-4615-9653-b3d2ee7eae55; acae61a9-be69-4995-992f-ce6a3dc6fdf0; 26a08df0-2ae8-48de-babf-0f6989d9ebab; Operative Notes, Estimated Blood Loss; Specimen Collected; 4ea93f26-a0a9-42e1-93e3-512f1ca99234; Prophelaxsis Antibiotics",,,,,,,,
