Uuid,Same as mappings,Void/Retire,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1250
3b72d5ef-d63c-498a-9e01-bbf713020286,,,Surgery Date,Surgery Date,Surgery Date,Surgery Date,,,Misc,Date,,,,,,,,,,,
fe2da37c-0c99-484c-85e3-cfaa23c9fb2a,,,Dr. Charles Furaha,Dr. Charles Furaha,Dr. Charles Furaha,Dr. Charles Furaha,,,Misc,N/A,,,,,,,,,,,
f96508c6-f0a2-440e-883e-4540286d3057,,,Other:,Other:,Other:,Other:,,,Misc,N/A,,,,,,,,,,,
3fdec4f4-957c-4162-b2f5-915a364527f1,,,Author,Author,Author,Author,,,Misc,Coded,,fe2da37c-0c99-484c-85e3-cfaa23c9fb2a; f96508c6-f0a2-440e-883e-4540286d3057,,,,,,,,,
b412bdb1-664c-4e49-9ec2-aabef9be67bf,,,Subjective,Subjective,Subjective,Subjective,,,Misc,Text,,,,,,,,,,,
06a026d0-f214-49cc-8612-b31fa17dd1a4,,,Objective,Objective,Objective,Objective,,,Misc,Text,,,,,,,,,,,
72b78122-29a2-4b79-9e8a-d86eead7fd06,,,Assessment,Assessment,Assessment,Assessment,,,Misc,Text,,,,,,,,,,,
3b700476-920d-4492-a355-2cc64cc3105d,,,Plan,Plan,Plan,Plan,,,Misc,Text,,,,,,,,,,,
c3659bf9-3f10-11e4-adec-0800271c1b75,,,Comments,Comments,Comments,Comments,,,Misc,Text,,,,,,,,,,,
d29857f0-97f8-4465-94ae-e527908445fc,,,Burn - Follow up,Burn - Follow up,Burn - Follow up,Burn - Follow up,,,ConvSet,N/A,,,Surgery Date; 3fdec4f4-957c-4162-b2f5-915a364527f1; b412bdb1-664c-4e49-9ec2-aabef9be67bf; 06a026d0-f214-49cc-8612-b31fa17dd1a4; 72b78122-29a2-4b79-9e8a-d86eead7fd06; 3b700476-920d-4492-a355-2cc64cc3105d; c3659bf9-3f10-11e4-adec-0800271c1b75,,,,,,,,
