Uuid,Same as mappings,Void/Retire,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1250
fe2da37c-0c99-484c-85e3-cfaa23c9fb2a,,,Dr. Charles Furaha,Dr. Charles Furaha,Dr. Charles Furaha,Dr. Charles Furaha,,,Misc,N/A,,,,,,,,,,,
f96508c6-f0a2-440e-883e-4540286d3057,,,Other:,Other:,Other:,Other:,,,Misc,N/A,,,,,,,,,,,
3fdec4f4-957c-4162-b2f5-915a364527f1,,,Author,Author,Author,Author,,,Misc,Coded,,fe2da37c-0c99-484c-85e3-cfaa23c9fb2a; f96508c6-f0a2-440e-883e-4540286d3057,,,,,,,,,
c3659bf9-3f10-11e4-adec-0800271c1b75,,,Comments,Comments,Comments,Comments,,,Misc,Text,,,,,,,,,,,
b5beb74e-09ed-406b-9923-a171408c647d,,,Assessment and Plan,Assessment and Plan,Assessment and Plan,Assessment and Plan,,,Misc,Text,,,,,,,,,,,
c23f31e0-3cd7-4522-a717-cac9a171c4cb,,,Date of Admission,Date of Admission,Date of Admission,Date of Admission,,,Misc,Date,,,,,,,,,,,
5f2da27d-0686-4896-8daa-2f187124e44f,,,Procedure and Date of Procedure,Procedure and Date of Procedure,Procedure and Date of Procedure,Procedure and Date of Procedure,,,Misc,Text,,,,,,,,,,,
cfa29909-9de7-4a8d-9aa0-2225560432f7,,,Operative Time,Operative Time,Operative Time,Operative Time,,,Misc,Text,,,,,,,,,,,
e8fe988f-53f5-4a87-9a04-8208a037b284,,,GA,GA,GA,GA,,,Misc,N/A,,,,,,,,,,,
05e9b87f-49cb-4aa0-88c6-51edc7afb65c,,,MAC,MAC,MAC,MAC,,,Misc,N/A,,,,,,,,,,,
777228ce-5230-4f00-81db-739d36872d5c,,,Regional,Regional,Regional,Regional,,,Misc,N/A,,,,,,,,,,,
72516972-735d-4514-a92c-dab2eca10d32,,,Spinal,Spinal,Spinal,Spinal,,,Misc,N/A,,,,,,,,,,,
362bd11e-e83b-4aa4-8b23-8a3ead9908a4,,,Local,Local,Local,Local,,,Misc,N/A,,,,,,,,,,,
4fdc5b5b-ff7a-4bdf-920f-92276ef6c07f,,,Other Answer,Other Answer,Other (Specify),Other (Specify),,,Misc,N/A,,,,,,,,,,,
acae61a9-be69-4995-992f-ce6a3dc6fdf0,,,Anesthesia,Anesthesia,Anesthesia,Anesthesia,,,Misc,Coded,,e8fe988f-53f5-4a87-9a04-8208a037b284; 05e9b87f-49cb-4aa0-88c6-51edc7afb65c; 777228ce-5230-4f00-81db-739d36872d5c; 72516972-735d-4514-a92c-dab2eca10d32; 362bd11e-e83b-4aa4-8b23-8a3ead9908a4; 4fdc5b5b-ff7a-4bdf-920f-92276ef6c07f,,,,,,,,,
a31c07b2-092b-4d75-8740-9c490a9d56fa,,,Burn Plans,Burn Plans,Burn Plans,Burn Plans,,,ConvSet,N/A,,,3fdec4f4-957c-4162-b2f5-915a364527f1; c3659bf9-3f10-11e4-adec-0800271c1b75; 2e1b2486-9fa6-4b23-921e-583f67541731; c23f31e0-3cd7-4522-a717-cac9a171c4cb; 5f2da27d-0686-4896-8daa-2f187124e44f; cfa29909-9de7-4a8d-9aa0-2225560432f7; acae61a9-be69-4995-992f-ce6a3dc6fdf0,,,,,,,,
