uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,Mappings|SAME-AS|PIH|Name,Mappings|NARROWER-THAN|PIH|Name,Mappings|BROADER-THAN|PIH|Name,Mappings|SAME-AS|PIH|Number,Mappings|NARROWER-THAN|PIH|Number,Mappings|BROADER-THAN|PIH|Number,Mappings|SAME-AS|CIEL,Mappings|NARROWER-THAN|CIEL,Mappings|BROADER-THAN|CIEL,Mappings|SAME-AS|AMPATH,Mappings|SAME-AS|org.openmrs.module.emrapi,Absolute high,Critical high,Normal high,Absolute low,Critical low,Normal low,Units,Display precision,Allow decimals,Complex data handler
c36c7c98-3f10-11e4-adec-0800271c1b75,,Pulse Abnormal,Pulse Abnormal,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
c36f5a8b-3f10-11e4-adec-0800271c1b75,,Systolic Abnormal,Systolic Abnormal,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
c37a5735-3f10-11e4-adec-0800271c1b75,,Diastolic Abnormal,Diastolic Abnormal,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
c37c942d-3f10-11e4-adec-0800271c1b75,,Temperature Abnormal,Temperature Abnormal,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
c37f16d3-3f10-11e4-adec-0800271c1b75,,RR Abnormal,Temperature Abnormal,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
c384402b-3f10-11e4-adec-0800271c1b75,,SPO2 Abnormal,Temperature Abnormal,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
4e5a997f-3755-4776-9728-7d6a080440d8,,"Diabetes, Systolic Abnormal",Systolic Abnormal,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
c02b7e9d-d741-4814-bf3f-18cc1cc7db47,,"Diabetes, Diastolic Abnormal",Diastolic Abnormal,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
ed6eb72f-ec8a-4fbe-948c-b14f3bda1a6c,,"Hypertension, Systolic Abnormal",Systolic Abnormal,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
ea39ee96-7dcd-48f7-bd2c-c15e27560d8b,,"Hypertension, Diastolic Abnormal",Diastolic Abnormal,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
d780aaa4-c4a5-435b-9d50-af85f86e0848,,Gestation Period Abnormal,,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
0fad8dfa-c19b-4caf-9b36-479c892b9730,,"Stroke, Systolic Abnormal",Systolic Abnormal,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
74ecbf4a-a7a1-40fa-a8ed-fc611a434aa5,,"Stroke, Diastolic Abnormal",Diastolic Abnormal,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
94562c90-2a82-49c4-873c-aa8376a5781e,,Heart Rate Abnormal,,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
ab33bc98-ac76-4c5d-8c51-579dc06ce657,,Respiratory Rate Abnormal,,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
2cf2580f-ab29-4f58-951b-8dd2613ce091,,Oxygen Saturation Abnormal,,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
c3843f1d-9835-47e8-842b-d51e57781585,,BMI ABNORMAL,BMI ABNORMAL,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
afd34a0d-ca7c-4f31-bd5a-4f1fa98100e1,,BMI STATUS ABNORMAL,BMI STATUS ABNORMAL,,Abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,
695e99d6-12b2-11e6-8c00-080027d2adbd,,Bacteriology Additional Attributes,Additional Attributes,,Bacteriology Attributes,N/A,,Consultation Note,,,,,,,,,,,,,,,,,,,,,
695ed8c1-12b2-11e6-8c00-080027d2adbd,,Bacteriology Results,Results,,Bacteriology Results,N/A,,"Bacteriology, Smear microscopy test results;Bacteriology, Xpert test results",,,,,,,,,,,,,,,,,,,,,
c367d9ee-3f10-11e4-adec-0800271c1b75,,BMI,BMI,,Computed,Numeric,,,,,,,,,,,,,,,,,,,,,,1,
c368694c-3f10-11e4-adec-0800271c1b75,,BMI STATUS,BMI STATUS,,Computed,Text,,,,,,,,,,,,,,,,,,,,,,,
e420195b-beb9-4cd9-a593-4720b23710cf,,"ANC, Expected Delivery Date",Expected delivery date,,Computed,Date,,,,,,,,,,,,,,,,,,,,,,,
c36af094-3f10-11e4-adec-0800271c1b75,,Pulse Data,Pulse,,Concept Details,N/A,,Pulse Abnormal;Pulse,,,,,,,,,,,,,,,,,,,,,
